item_id,column_id,text,value
mitem_0058,col_due_5g,2026-10-16,"{""text"": ""2026-10-16""}"
mitem_0058,col_risk,High,"{""text"": ""High""}"
mitem_0058,col_notes,Chinwe Eze; vendor patch in QA,"{""text"": ""Chinwe Eze; vendor patch in QA""}"
mitem_0059,col_owner,muser_001,"{""text"": ""muser_001""}"
mitem_0059,col_status_5g,To Do,"{""text"": ""To Do""}"
mitem_0059,col_due_5g,2026-10-04,"{""text"": ""2026-10-04""}"
mitem_0059,col_risk,High,"{""text"": ""High""}"
mitem_0059,col_notes,Sheila pulling final coverage maps,"{""text"": ""Sheila pulling final coverage maps""}"
mitem_0060,col_owner,muser_001,"{""text"": ""muser_001""}"
mitem_0060,col_status_5g,On Track,"{""text"": ""On Track""}"
mitem_0060,col_due_5g,2026-10-19,"{""text"": ""2026-10-19""}"
mitem_0060,col_risk,Medium,"{""text"": ""Medium""}"
mitem_0060,col_notes,Per TCH-PO-2026-019 80-line manifest,"{""text"": ""Per TCH-PO-2026-019 80-line manifest""}"
mitem_0061,col_owner,muser_001,"{""text"": ""muser_001""}"
mitem_0061,col_status_5g,Pending,"{""text"": ""Pending""}"
mitem_0061,col_due_5g,2026-10-05,"{""text"": ""2026-10-05""}"
mitem_0061,col_risk,High,"{""text"": ""High""}"
mitem_0061,col_notes,NGN 75K above threshold; HOLD pending Sheila,"{""text"": ""NGN 75K above threshold; HOLD pending Sheila""}"
