id,subject,description,status,priority,requester_id,responder_id,type,tags,created_at,updated_at
FD-TN-2026-082,Cold start v1 lab observation followup,Cold start v1 lab observation closed.,5,3,ct_sheila,agent_marcus,Problem,Problem,2026-07-12T00:00:00Z,2026-07-17T00:00:00Z
FD-TN-2026-083,Open RAN observability stack inquiry,Inquiry into vendor support for open RAN observability stacks.,5,3,ct_sheila,agent_marcus,Question,Question,2026-07-20T00:00:00Z,2026-07-25T00:00:00Z
FD-TN-2026-084,Documentation index version pinning,Documentation index version pinning request resolved.,5,3,ct_sheila,agent_marcus,Question,Question,2026-07-27T00:00:00Z,2026-08-01T00:00:00Z
FD-TN-2026-085,SC-T700 firmware checksum verification,Firmware checksum verification flow shared.,5,3,ct_sheila,agent_marcus,Question,Question,2026-08-03T00:00:00Z,2026-08-08T00:00:00Z
FD-TN-2026-086,Bench thermal stress August walkthrough,Thermal stress August walkthrough closed with no anomalies.,5,3,ct_sheila,agent_marcus,Problem,Problem,2026-08-13T00:00:00Z,2026-08-18T00:00:00Z
FD-TN-2026-087,Acceptance harness output schema rev 2,Schema rev 2 delivered.,5,3,ct_sheila,agent_marcus,Question,Question,2026-08-19T00:00:00Z,2026-08-24T00:00:00Z
FD-TN-2026-088,Documentation index refresh end August,Documentation index refresh request resolved.,5,3,ct_sheila,agent_marcus,Question,Question,2026-08-23T00:00:00Z,2026-08-28T00:00:00Z
FD-TN-2026-100,Documentation reference question routine 100,"Routine vendor support exchange for documentation reference question item 100, closed by Tachyon docs link.",5,3,ct_sheila,agent_tachyon_bot,Question,"documentation,reference,question",2026-09-10T00:00:00Z,2026-09-15T00:00:00Z
FD-TN-2026-101,Bench rig calibration routine 101,"Routine vendor support exchange for bench rig calibration item 101, closed by Tachyon docs link.",5,3,ct_sheila,agent_marcus,Question,"bench,rig,calibration",2026-09-03T00:00:00Z,2026-09-08T00:00:00Z
FD-TN-2026-102,Sector controller spec sheet rev routine 102,"Routine vendor support exchange for sector controller spec sheet rev item 102, closed by Tachyon docs link.",5,3,ct_sheila,agent_tachyon_bot,Question,"sector,controller,spec,sheet,rev",2026-08-27T00:00:00Z,2026-09-01T00:00:00Z
FD-TN-2026-103,Antenna kit AK-180 mounting variant routine 103,"Routine vendor support exchange for antenna kit ak-180 mounting variant item 103, closed by Tachyon docs link.",5,3,ct_sheila,agent_marcus,Question,"antenna,kit,ak-180,mounting,variant",2026-08-20T00:00:00Z,2026-08-25T00:00:00Z
FD-TN-2026-104,Backhaul radio BR-22G install routine 104,"Routine vendor support exchange for backhaul radio br-22g install item 104, closed by Tachyon docs link.",5,3,ct_sheila,agent_tachyon_bot,Question,"backhaul,radio,br-22g,install",2026-08-13T00:00:00Z,2026-08-18T00:00:00Z
FD-TN-2026-105,PUCCH format selection rule routine 105,"Routine vendor support exchange for pucch format selection rule item 105, closed by Tachyon docs link.",5,3,ct_sheila,agent_marcus,Question,"pucch,format,selection,rule",2026-08-06T00:00:00Z,2026-08-11T00:00:00Z
FD-TN-2026-106,PRACH preamble format reference routine 106,"Routine vendor support exchange for prach preamble format reference item 106, closed by Tachyon docs link.",5,3,ct_sheila,agent_tachyon_bot,Question,"prach,preamble,format,reference",2026-07-30T00:00:00Z,2026-08-04T00:00:00Z
FD-TN-2026-107,Telemetry feed retention routine 107,"Routine vendor support exchange for telemetry feed retention item 107, closed by Tachyon docs link.",5,3,ct_sheila,agent_marcus,Question,"telemetry,feed,retention",2026-07-23T00:00:00Z,2026-07-28T00:00:00Z
FD-TN-2026-108,SDK upgrade walkthrough routine 108,"Routine vendor support exchange for sdk upgrade walkthrough item 108, closed by Tachyon docs link.",5,3,ct_sheila,agent_tachyon_bot,Question,"sdk,upgrade,walkthrough",2026-07-16T00:00:00Z,2026-07-21T00:00:00Z
FD-TN-2026-109,Open RAN observability inquiry routine 109,"Routine vendor support exchange for open ran observability inquiry item 109, closed by Tachyon docs link.",5,3,ct_sheila,agent_marcus,Question,"open,ran,observability,inquiry",2026-07-09T00:00:00Z,2026-07-14T00:00:00Z
FD-TN-2026-110,Bench thermal stress walkthrough routine 110,"Routine vendor support exchange for bench thermal stress walkthrough item 110, closed by Tachyon docs link.",5,3,ct_sheila,agent_tachyon_bot,Question,"bench,thermal,stress,walkthrough",2026-07-02T00:00:00Z,2026-07-07T00:00:00Z
FD-TN-2026-111,Acceptance harness telemetry schema routine 111,"Routine vendor support exchange for acceptance harness telemetry schema item 111, closed by Tachyon docs link.",5,3,ct_sheila,agent_marcus,Question,"acceptance,harness,telemetry,schema",2026-06-25T00:00:00Z,2026-06-30T00:00:00Z
FD-TN-2026-112,Sub-band masking refresh routine 112,"Routine vendor support exchange for sub-band masking refresh item 112, closed by Tachyon docs link.",5,3,ct_sheila,agent_tachyon_bot,Question,"sub-band,masking,refresh",2026-06-18T00:00:00Z,2026-06-23T00:00:00Z
FD-TN-2026-113,Antenna alignment drift policy routine 113,"Routine vendor support exchange for antenna alignment drift policy item 113, closed by Tachyon docs link.",5,3,ct_sheila,agent_marcus,Question,"antenna,alignment,drift,policy",2026-06-11T00:00:00Z,2026-06-16T00:00:00Z
FD-TN-2026-114,Cold start lab observation routine 114,"Routine vendor support exchange for cold start lab observation item 114, closed by Tachyon docs link.",5,3,ct_sheila,agent_tachyon_bot,Question,"cold,start,lab,observation",2026-06-04T00:00:00Z,2026-06-09T00:00:00Z
FD-TN-2026-115,Documentation reference question routine 115,"Routine vendor support exchange for documentation reference question item 115, closed by Tachyon docs link.",5,3,ct_sheila,agent_marcus,Question,"documentation,reference,question",2026-05-28T00:00:00Z,2026-06-02T00:00:00Z
FD-TN-2026-116,Bench rig calibration routine 116,"Routine vendor support exchange for bench rig calibration item 116, closed by Tachyon docs link.",5,3,ct_sheila,agent_tachyon_bot,Question,"bench,rig,calibration",2026-05-21T00:00:00Z,2026-05-26T00:00:00Z
FD-TN-2026-117,Sector controller spec sheet rev routine 117,"Routine vendor support exchange for sector controller spec sheet rev item 117, closed by Tachyon docs link.",5,3,ct_sheila,agent_marcus,Question,"sector,controller,spec,sheet,rev",2026-05-14T00:00:00Z,2026-05-19T00:00:00Z
FD-TN-2026-118,Antenna kit AK-180 mounting variant routine 118,"Routine vendor support exchange for antenna kit ak-180 mounting variant item 118, closed by Tachyon docs link.",5,3,ct_sheila,agent_tachyon_bot,Question,"antenna,kit,ak-180,mounting,variant",2026-05-07T00:00:00Z,2026-05-12T00:00:00Z
FD-TN-2026-119,Backhaul radio BR-22G install routine 119,"Routine vendor support exchange for backhaul radio br-22g install item 119, closed by Tachyon docs link.",5,3,ct_sheila,agent_marcus,Question,"backhaul,radio,br-22g,install",2026-04-30T00:00:00Z,2026-05-05T00:00:00Z
FD-TN-2026-120,PUCCH format selection rule routine 120,"Routine vendor support exchange for pucch format selection rule item 120, closed by Tachyon docs link.",5,3,ct_sheila,agent_tachyon_bot,Question,"pucch,format,selection,rule",2026-04-23T00:00:00Z,2026-04-28T00:00:00Z
FD-TN-2026-121,PRACH preamble format reference routine 121,"Routine vendor support exchange for prach preamble format reference item 121, closed by Tachyon docs link.",5,3,ct_sheila,agent_marcus,Question,"prach,preamble,format,reference",2026-04-16T00:00:00Z,2026-04-21T00:00:00Z
FD-TN-2026-122,Telemetry feed retention routine 122,"Routine vendor support exchange for telemetry feed retention item 122, closed by Tachyon docs link.",5,3,ct_sheila,agent_tachyon_bot,Question,"telemetry,feed,retention",2026-04-09T00:00:00Z,2026-04-14T00:00:00Z
FD-TN-2026-123,SDK upgrade walkthrough routine 123,"Routine vendor support exchange for sdk upgrade walkthrough item 123, closed by Tachyon docs link.",5,3,ct_sheila,agent_marcus,Question,"sdk,upgrade,walkthrough",2026-04-02T00:00:00Z,2026-04-07T00:00:00Z
FD-TN-2026-124,Open RAN observability inquiry routine 124,"Routine vendor support exchange for open ran observability inquiry item 124, closed by Tachyon docs link.",5,3,ct_sheila,agent_tachyon_bot,Question,"open,ran,observability,inquiry",2026-03-26T00:00:00Z,2026-03-31T00:00:00Z
FD-TN-2026-125,Bench thermal stress walkthrough routine 125,"Routine vendor support exchange for bench thermal stress walkthrough item 125, closed by Tachyon docs link.",5,3,ct_sheila,agent_marcus,Question,"bench,thermal,stress,walkthrough",2026-03-19T00:00:00Z,2026-03-24T00:00:00Z
FD-TN-2026-126,Acceptance harness telemetry schema routine 126,"Routine vendor support exchange for acceptance harness telemetry schema item 126, closed by Tachyon docs link.",5,3,ct_sheila,agent_tachyon_bot,Question,"acceptance,harness,telemetry,schema",2026-03-12T00:00:00Z,2026-03-17T00:00:00Z
FD-TN-2026-127,Sub-band masking refresh routine 127,"Routine vendor support exchange for sub-band masking refresh item 127, closed by Tachyon docs link.",5,3,ct_sheila,agent_marcus,Question,"sub-band,masking,refresh",2026-03-05T00:00:00Z,2026-03-10T00:00:00Z
FD-TN-2026-128,Antenna alignment drift policy routine 128,"Routine vendor support exchange for antenna alignment drift policy item 128, closed by Tachyon docs link.",5,3,ct_sheila,agent_tachyon_bot,Question,"antenna,alignment,drift,policy",2026-02-26T00:00:00Z,2026-03-03T00:00:00Z
FD-TN-2026-129,Cold start lab observation routine 129,"Routine vendor support exchange for cold start lab observation item 129, closed by Tachyon docs link.",5,3,ct_sheila,agent_marcus,Question,"cold,start,lab,observation",2026-09-07T00:00:00Z,2026-09-12T00:00:00Z
FD-TN-2026-130,Documentation reference question routine 130,"Routine vendor support exchange for documentation reference question item 130, closed by Tachyon docs link.",5,3,ct_sheila,agent_tachyon_bot,Question,"documentation,reference,question",2026-08-31T00:00:00Z,2026-09-05T00:00:00Z
FD-TN-2026-131,Bench rig calibration routine 131,"Routine vendor support exchange for bench rig calibration item 131, closed by Tachyon docs link.",5,3,ct_sheila,agent_marcus,Question,"bench,rig,calibration",2026-08-24T00:00:00Z,2026-08-29T00:00:00Z
FD-TN-2026-132,Sector controller spec sheet rev routine 132,"Routine vendor support exchange for sector controller spec sheet rev item 132, closed by Tachyon docs link.",5,3,ct_sheila,agent_tachyon_bot,Question,"sector,controller,spec,sheet,rev",2026-08-17T00:00:00Z,2026-08-22T00:00:00Z
FD-TN-2026-133,Antenna kit AK-180 mounting variant routine 133,"Routine vendor support exchange for antenna kit ak-180 mounting variant item 133, closed by Tachyon docs link.",5,3,ct_sheila,agent_marcus,Question,"antenna,kit,ak-180,mounting,variant",2026-08-10T00:00:00Z,2026-08-15T00:00:00Z
FD-TN-2026-134,Backhaul radio BR-22G install routine 134,"Routine vendor support exchange for backhaul radio br-22g install item 134, closed by Tachyon docs link.",5,3,ct_sheila,agent_tachyon_bot,Question,"backhaul,radio,br-22g,install",2026-08-03T00:00:00Z,2026-08-08T00:00:00Z
FD-TN-2026-135,PUCCH format selection rule routine 135,"Routine vendor support exchange for pucch format selection rule item 135, closed by Tachyon docs link.",5,3,ct_sheila,agent_marcus,Question,"pucch,format,selection,rule",2026-07-27T00:00:00Z,2026-08-01T00:00:00Z
FD-TN-2026-136,PRACH preamble format reference routine 136,"Routine vendor support exchange for prach preamble format reference item 136, closed by Tachyon docs link.",5,3,ct_sheila,agent_tachyon_bot,Question,"prach,preamble,format,reference",2026-07-20T00:00:00Z,2026-07-25T00:00:00Z
FD-TN-2026-137,Telemetry feed retention routine 137,"Routine vendor support exchange for telemetry feed retention item 137, closed by Tachyon docs link.",5,3,ct_sheila,agent_marcus,Question,"telemetry,feed,retention",2026-07-13T00:00:00Z,2026-07-18T00:00:00Z
FD-TN-2026-138,SDK upgrade walkthrough routine 138,"Routine vendor support exchange for sdk upgrade walkthrough item 138, closed by Tachyon docs link.",5,3,ct_sheila,agent_tachyon_bot,Question,"sdk,upgrade,walkthrough",2026-07-06T00:00:00Z,2026-07-11T00:00:00Z
FD-TN-2026-139,Open RAN observability inquiry routine 139,"Routine vendor support exchange for open ran observability inquiry item 139, closed by Tachyon docs link.",5,3,ct_sheila,agent_marcus,Question,"open,ran,observability,inquiry",2026-06-29T00:00:00Z,2026-07-04T00:00:00Z
FD-TN-2026-140,Bench thermal stress walkthrough routine 140,"Routine vendor support exchange for bench thermal stress walkthrough item 140, closed by Tachyon docs link.",5,3,ct_sheila,agent_tachyon_bot,Question,"bench,thermal,stress,walkthrough",2026-06-22T00:00:00Z,2026-06-27T00:00:00Z
FD-TN-2026-141,Acceptance harness telemetry schema routine 141,"Routine vendor support exchange for acceptance harness telemetry schema item 141, closed by Tachyon docs link.",5,3,ct_sheila,agent_marcus,Question,"acceptance,harness,telemetry,schema",2026-06-15T00:00:00Z,2026-06-20T00:00:00Z
FD-TN-2026-142,Sub-band masking refresh routine 142,"Routine vendor support exchange for sub-band masking refresh item 142, closed by Tachyon docs link.",5,3,ct_sheila,agent_tachyon_bot,Question,"sub-band,masking,refresh",2026-06-08T00:00:00Z,2026-06-13T00:00:00Z
FD-TN-2026-143,Antenna alignment drift policy routine 143,"Routine vendor support exchange for antenna alignment drift policy item 143, closed by Tachyon docs link.",5,3,ct_sheila,agent_marcus,Question,"antenna,alignment,drift,policy",2026-06-01T00:00:00Z,2026-06-06T00:00:00Z
FD-TN-2026-144,Cold start lab observation routine 144,"Routine vendor support exchange for cold start lab observation item 144, closed by Tachyon docs link.",5,3,ct_sheila,agent_tachyon_bot,Question,"cold,start,lab,observation",2026-05-25T00:00:00Z,2026-05-30T00:00:00Z
FD-TN-2026-145,Documentation reference question routine 145,"Routine vendor support exchange for documentation reference question item 145, closed by Tachyon docs link.",5,3,ct_sheila,agent_marcus,Question,"documentation,reference,question",2026-05-18T00:00:00Z,2026-05-23T00:00:00Z
FD-TN-2026-146,Bench rig calibration routine 146,"Routine vendor support exchange for bench rig calibration item 146, closed by Tachyon docs link.",5,3,ct_sheila,agent_tachyon_bot,Question,"bench,rig,calibration",2026-05-11T00:00:00Z,2026-05-16T00:00:00Z
FD-TN-2026-147,Sector controller spec sheet rev routine 147,"Routine vendor support exchange for sector controller spec sheet rev item 147, closed by Tachyon docs link.",5,3,ct_sheila,agent_marcus,Question,"sector,controller,spec,sheet,rev",2026-05-04T00:00:00Z,2026-05-09T00:00:00Z
FD-TN-2026-148,Antenna kit AK-180 mounting variant routine 148,"Routine vendor support exchange for antenna kit ak-180 mounting variant item 148, closed by Tachyon docs link.",5,3,ct_sheila,agent_tachyon_bot,Question,"antenna,kit,ak-180,mounting,variant",2026-04-27T00:00:00Z,2026-05-02T00:00:00Z
FD-TN-2026-149,Backhaul radio BR-22G install routine 149,"Routine vendor support exchange for backhaul radio br-22g install item 149, closed by Tachyon docs link.",5,3,ct_sheila,agent_marcus,Question,"backhaul,radio,br-22g,install",2026-04-20T00:00:00Z,2026-04-25T00:00:00Z
FD-TN-2026-150,PUCCH format selection rule routine 150,"Routine vendor support exchange for pucch format selection rule item 150, closed by Tachyon docs link.",5,3,ct_sheila,agent_tachyon_bot,Question,"pucch,format,selection,rule",2026-04-13T00:00:00Z,2026-04-18T00:00:00Z
FD-TN-2026-151,PRACH preamble format reference routine 151,"Routine vendor support exchange for prach preamble format reference item 151, closed by Tachyon docs link.",5,3,ct_sheila,agent_marcus,Question,"prach,preamble,format,reference",2026-04-06T00:00:00Z,2026-04-11T00:00:00Z
FD-TN-2026-152,Telemetry feed retention routine 152,"Routine vendor support exchange for telemetry feed retention item 152, closed by Tachyon docs link.",5,3,ct_sheila,agent_tachyon_bot,Question,"telemetry,feed,retention",2026-03-30T00:00:00Z,2026-04-04T00:00:00Z
FD-TN-2026-153,SDK upgrade walkthrough routine 153,"Routine vendor support exchange for sdk upgrade walkthrough item 153, closed by Tachyon docs link.",5,3,ct_sheila,agent_marcus,Question,"sdk,upgrade,walkthrough",2026-03-23T00:00:00Z,2026-03-28T00:00:00Z
FD-TN-2026-154,Open RAN observability inquiry routine 154,"Routine vendor support exchange for open ran observability inquiry item 154, closed by Tachyon docs link.",5,3,ct_sheila,agent_tachyon_bot,Question,"open,ran,observability,inquiry",2026-03-16T00:00:00Z,2026-03-21T00:00:00Z
FD-TN-2026-155,Bench thermal stress walkthrough routine 155,"Routine vendor support exchange for bench thermal stress walkthrough item 155, closed by Tachyon docs link.",5,3,ct_sheila,agent_marcus,Question,"bench,thermal,stress,walkthrough",2026-03-09T00:00:00Z,2026-03-14T00:00:00Z
FD-TN-2026-156,Acceptance harness telemetry schema routine 156,"Routine vendor support exchange for acceptance harness telemetry schema item 156, closed by Tachyon docs link.",5,3,ct_sheila,agent_tachyon_bot,Question,"acceptance,harness,telemetry,schema",2026-03-02T00:00:00Z,2026-03-07T00:00:00Z
FD-TN-2026-157,Sub-band masking refresh routine 157,"Routine vendor support exchange for sub-band masking refresh item 157, closed by Tachyon docs link.",5,3,ct_sheila,agent_marcus,Question,"sub-band,masking,refresh",2026-02-23T00:00:00Z,2026-02-28T00:00:00Z
FD-TN-2026-158,Antenna alignment drift policy routine 158,"Routine vendor support exchange for antenna alignment drift policy item 158, closed by Tachyon docs link.",5,3,ct_sheila,agent_tachyon_bot,Question,"antenna,alignment,drift,policy",2026-09-04T00:00:00Z,2026-09-09T00:00:00Z
FD-TN-2026-159,Cold start lab observation routine 159,"Routine vendor support exchange for cold start lab observation item 159, closed by Tachyon docs link.",5,3,ct_sheila,agent_marcus,Question,"cold,start,lab,observation",2026-08-28T00:00:00Z,2026-09-02T00:00:00Z
