id,user_id,caption,media_type,media_url,permalink,thumbnail_url,timestamp,like_count,comments_count,is_comment_enabled
ig_med_011,ig_user_nwomenintech,Meetup recap from last Saturday in Lagos.,carousel_album,https://media.example-ig.com/ig_med_011.jpg,https://example-ig.com/p/ig_med_011,https://media.example-ig.com/ig_med_011_thumb.jpg,2026-09-02T08:30:00Z,5400,218,true
ig_med_012,ig_user_nwomenintech,Spotlight: a senior engineer at a telecom operator.,image,https://media.example-ig.com/ig_med_012.jpg,https://example-ig.com/p/ig_med_012,https://media.example-ig.com/ig_med_012_thumb.jpg,2026-09-04T08:30:00Z,6100,184,true
ig_med_013,ig_user_nwomenintech,Mentorship circle applications open.,image,https://media.example-ig.com/ig_med_013.jpg,https://example-ig.com/p/ig_med_013,https://media.example-ig.com/ig_med_013_thumb.jpg,2026-09-10T08:30:00Z,4900,162,true
ig_med_014,ig_user_nwomenintech,Q3 newsletter has dropped.,image,https://media.example-ig.com/ig_med_014.jpg,https://example-ig.com/p/ig_med_014,https://media.example-ig.com/ig_med_014_thumb.jpg,2026-09-18T08:30:00Z,3800,142,true
ig_med_015,ig_user_wit_africa,Field engineer of the month.,image,https://media.example-ig.com/ig_med_015.jpg,https://example-ig.com/p/ig_med_015,https://media.example-ig.com/ig_med_015_thumb.jpg,2026-09-06T08:30:00Z,3100,112,true
ig_med_016,ig_user_wit_africa,Spectrum policy panel recap.,image,https://media.example-ig.com/ig_med_016.jpg,https://example-ig.com/p/ig_med_016,https://media.example-ig.com/ig_med_016_thumb.jpg,2026-09-15T08:30:00Z,2600,98,true
ig_med_017,ig_user_she_engineers,Rural connectivity feature this week.,image,https://media.example-ig.com/ig_med_017.jpg,https://example-ig.com/p/ig_med_017,https://media.example-ig.com/ig_med_017_thumb.jpg,2026-09-12T08:30:00Z,2200,88,true
ig_med_018,ig_user_she_engineers,RF planning Q and A this Saturday.,image,https://media.example-ig.com/ig_med_018.jpg,https://example-ig.com/p/ig_med_018,https://media.example-ig.com/ig_med_018_thumb.jpg,2026-09-21T08:30:00Z,2400,92,true
ig_med_019,ig_user_we_in_telecom,Sub-Saharan operator panel notes.,image,https://media.example-ig.com/ig_med_019.jpg,https://example-ig.com/p/ig_med_019,https://media.example-ig.com/ig_med_019_thumb.jpg,2026-09-08T08:30:00Z,1800,72,true
ig_med_020,ig_user_engineer_mum,Three things I learned this week.,image,https://media.example-ig.com/ig_med_020.jpg,https://example-ig.com/p/ig_med_020,https://media.example-ig.com/ig_med_020_thumb.jpg,2026-09-11T08:30:00Z,4200,138,true
ig_med_021,ig_user_engineer_mum,On the standup that runs itself.,image,https://media.example-ig.com/ig_med_021.jpg,https://example-ig.com/p/ig_med_021,https://media.example-ig.com/ig_med_021_thumb.jpg,2026-09-14T08:30:00Z,3800,124,true
ig_med_022,ig_user_engineer_mum,Saturday family schedule that works.,image,https://media.example-ig.com/ig_med_022.jpg,https://example-ig.com/p/ig_med_022,https://media.example-ig.com/ig_med_022_thumb.jpg,2026-09-18T08:30:00Z,3300,108,true
ig_med_023,ig_user_maitama_int,"Year 5 parents reminder, science fair.",image,https://media.example-ig.com/ig_med_023.jpg,https://example-ig.com/p/ig_med_023,https://media.example-ig.com/ig_med_023_thumb.jpg,2026-09-01T08:30:00Z,480,18,true
ig_med_024,ig_user_maitama_int,Year 2 PE schedule update.,image,https://media.example-ig.com/ig_med_024.jpg,https://example-ig.com/p/ig_med_024,https://media.example-ig.com/ig_med_024_thumb.jpg,2026-09-09T08:30:00Z,340,12,true
ig_med_025,ig_user_maitama_int,Independence day rehearsal.,carousel_album,https://media.example-ig.com/ig_med_025.jpg,https://example-ig.com/p/ig_med_025,https://media.example-ig.com/ig_med_025_thumb.jpg,2026-09-16T08:30:00Z,720,24,true
ig_med_026,ig_user_maitama_int,Parent-teacher conference week.,image,https://media.example-ig.com/ig_med_026.jpg,https://example-ig.com/p/ig_med_026,https://media.example-ig.com/ig_med_026_thumb.jpg,2026-09-23T08:30:00Z,620,21,true
ig_med_027,ig_user_holytrinity,Sunday school registration this week.,image,https://media.example-ig.com/ig_med_027.jpg,https://example-ig.com/p/ig_med_027,https://media.example-ig.com/ig_med_027_thumb.jpg,2026-09-14T08:30:00Z,220,9,true
ig_med_028,ig_user_holytrinity,Harvest service announcement.,image,https://media.example-ig.com/ig_med_028.jpg,https://example-ig.com/p/ig_med_028,https://media.example-ig.com/ig_med_028_thumb.jpg,2026-09-21T08:30:00Z,280,12,true
ig_med_029,ig_user_funke_friend,Sunset over Lekki.,image,https://media.example-ig.com/ig_med_029.jpg,https://example-ig.com/p/ig_med_029,https://media.example-ig.com/ig_med_029_thumb.jpg,2026-09-08T08:30:00Z,78,14,true
ig_med_030,ig_user_funke_friend,Saturday brunch.,image,https://media.example-ig.com/ig_med_030.jpg,https://example-ig.com/p/ig_med_030,https://media.example-ig.com/ig_med_030_thumb.jpg,2026-09-14T08:30:00Z,96,18,true
ig_med_031,ig_user_aunty_bisi,New adire batch ready.,carousel_album,https://media.example-ig.com/ig_med_031.jpg,https://example-ig.com/p/ig_med_031,https://media.example-ig.com/ig_med_031_thumb.jpg,2026-09-12T08:30:00Z,412,38,true
ig_med_032,ig_user_aunty_bisi,Indigo blue and clay collection.,image,https://media.example-ig.com/ig_med_032.jpg,https://example-ig.com/p/ig_med_032,https://media.example-ig.com/ig_med_032_thumb.jpg,2026-09-19T08:30:00Z,380,29,true
ig_med_033,ig_user_ay_hike_club,This Saturday meet point.,image,https://media.example-ig.com/ig_med_033.jpg,https://example-ig.com/p/ig_med_033,https://media.example-ig.com/ig_med_033_thumb.jpg,2026-09-06T08:30:00Z,220,18,true
ig_med_034,ig_user_ay_hike_club,Hike snacks tip thread.,image,https://media.example-ig.com/ig_med_034.jpg,https://example-ig.com/p/ig_med_034,https://media.example-ig.com/ig_med_034_thumb.jpg,2026-09-13T08:30:00Z,180,14,true
ig_med_035,ig_user_naija_gardens,Balcony tomato trough how to.,carousel_album,https://media.example-ig.com/ig_med_035.jpg,https://example-ig.com/p/ig_med_035,https://media.example-ig.com/ig_med_035_thumb.jpg,2026-09-11T08:30:00Z,612,48,true
ig_med_036,ig_user_naija_gardens,Herb wall in five steps.,image,https://media.example-ig.com/ig_med_036.jpg,https://example-ig.com/p/ig_med_036,https://media.example-ig.com/ig_med_036_thumb.jpg,2026-09-18T08:30:00Z,480,38,true
ig_med_037,ig_user_techpulse,Weekly news round up.,image,https://media.example-ig.com/ig_med_037.jpg,https://example-ig.com/p/ig_med_037,https://media.example-ig.com/ig_med_037_thumb.jpg,2026-09-05T08:30:00Z,320,22,true
ig_med_038,ig_user_techpulse,Spectrum reform piece.,image,https://media.example-ig.com/ig_med_038.jpg,https://example-ig.com/p/ig_med_038,https://media.example-ig.com/ig_med_038_thumb.jpg,2026-09-12T08:30:00Z,280,18,true
ig_med_039,ig_user_ieee_nig,October chapter meeting.,image,https://media.example-ig.com/ig_med_039.jpg,https://example-ig.com/p/ig_med_039,https://media.example-ig.com/ig_med_039_thumb.jpg,2026-09-08T08:30:00Z,180,12,true
ig_med_040,ig_user_ieee_nig,Student paper competition entries closing.,image,https://media.example-ig.com/ig_med_040.jpg,https://example-ig.com/p/ig_med_040,https://media.example-ig.com/ig_med_040_thumb.jpg,2026-09-20T08:30:00Z,220,14,true
