pin_id,board_id,board_section_id,title,description,link,media_type,created_at,updated_at,dominant_color,alt_text,is_promoted,pin_metrics_impressions,pin_metrics_saves,pin_metrics_clicks
pin_garden_005,brd_balcony_garden,sec_garden_tomatoes,Tomato trellis hooks,Lightweight trellis hooks for balcony tomato.,https://example-garden.com/tomato-trellis,image,2025-09-12T07:00:00Z,2026-09-20T07:00:00Z,neutral_palette,Tomato trellis hooks,false,1700,12,2
pin_garden_006,brd_balcony_garden,sec_garden_shade,Snake plant collection,Snake plant collection for shaded corners.,https://example-garden.com/snake-collection,image,2025-09-12T07:00:00Z,2026-09-20T07:00:00Z,neutral_palette,Snake plant collection,false,3100,24,6
pin_garden_007,brd_balcony_garden,sec_garden_shade,Pothos hanging arrangement,Pothos hanging arrangement for shade.,https://example-garden.com/pothos-hanging,image,2025-09-12T07:00:00Z,2026-09-20T07:00:00Z,neutral_palette,Pothos hanging arrangement,false,2400,17,5
pin_garden_008,brd_balcony_garden,sec_garden_shade,Fern wall partial shade,Fern wall for partial shade balconies.,https://example-garden.com/fern-wall,image,2025-09-12T07:00:00Z,2026-09-20T07:00:00Z,neutral_palette,Fern wall partial shade,false,1800,12,3
pin_garden_009,brd_balcony_garden,sec_garden_compost,Balcony compost crate,Balcony compost crate setup.,https://example-garden.com/compost-crate,image,2025-09-12T07:00:00Z,2026-09-20T07:00:00Z,neutral_palette,Balcony compost crate,false,1500,9,2
pin_garden_010,brd_balcony_garden,sec_garden_compost,Worm tower vermicompost,Worm tower for tropical apartment.,https://example-garden.com/worm-tower,image,2025-09-12T07:00:00Z,2026-09-20T07:00:00Z,neutral_palette,Worm tower vermicompost,false,1300,7,1
pin_garden_011,brd_balcony_garden,sec_garden_irrigation,Drip kit balcony tomato,Drip kit for balcony tomato troughs.,https://example-garden.com/drip-tomato,image,2025-09-12T07:00:00Z,2026-09-20T07:00:00Z,neutral_palette,Drip kit balcony tomato,false,1900,13,3
pin_garden_012,brd_balcony_garden,sec_garden_irrigation,Self-watering planters set,Self-watering planters for travel weeks.,https://example-garden.com/self-water,image,2025-09-12T07:00:00Z,2026-09-20T07:00:00Z,neutral_palette,Self-watering planters set,false,2200,16,4
pin_anniv_001,brd_anniversary_decor,sec_anniv_tablescape,Neutral linen runner,Neutral linen runner setup.,https://example-decor.com/runner-neutral,image,2025-09-12T07:00:00Z,2026-09-20T07:00:00Z,neutral_palette,Neutral linen runner,false,2100,15,3
pin_anniv_002,brd_anniversary_decor,sec_anniv_tablescape,Stoneware plates earthy,Stoneware plate setting.,https://example-decor.com/stoneware-earthy,image,2025-09-12T07:00:00Z,2026-09-20T07:00:00Z,neutral_palette,Stoneware plates earthy,false,1900,13,3
pin_anniv_003,brd_anniversary_decor,sec_anniv_candles,Pillar candle cluster,Pillar candles in three heights.,https://example-decor.com/pillar-three,image,2025-09-12T07:00:00Z,2026-09-20T07:00:00Z,neutral_palette,Pillar candle cluster,false,1700,11,2
pin_anniv_004,brd_anniversary_decor,sec_anniv_candles,Tea light grid,Tea light grid down the table.,https://example-decor.com/tea-grid,image,2025-09-12T07:00:00Z,2026-09-20T07:00:00Z,neutral_palette,Tea light grid,false,1500,9,2
pin_xmas_001,brd_christmas_2025,sec_xmas_wraps,Brown craft paper gold twine,Brown craft paper with gold twine.,https://example-decor.com/wrap-craft,image,2025-09-12T07:00:00Z,2026-09-20T07:00:00Z,neutral_palette,Brown craft paper gold twine,false,2400,17,4
pin_xmas_002,brd_christmas_2025,sec_xmas_wraps,Eucalyptus sprig tag,Eucalyptus sprig gift tag idea.,https://example-decor.com/tag-eucalyptus,image,2025-09-12T07:00:00Z,2026-09-20T07:00:00Z,neutral_palette,Eucalyptus sprig tag,false,2000,14,3
pin_xmas_003,brd_christmas_2025,sec_xmas_dinner,Garland centrepiece long,Garland down a long table centrepiece.,https://example-decor.com/garland-long,image,2025-09-12T07:00:00Z,2026-09-20T07:00:00Z,neutral_palette,Garland centrepiece long,false,2300,16,4
pin_xmas_004,brd_christmas_2025,sec_xmas_decor,Living room garland mantle,Mantle garland with brass accents.,https://example-decor.com/mantle-garland,image,2025-09-12T07:00:00Z,2026-09-20T07:00:00Z,neutral_palette,Living room garland mantle,false,1800,12,3
pin_recipe_001,brd_recipes_savings,sec_recipe_breakfast,Akara breakfast bowl,Akara breakfast bowl with greens.,https://example-food.com/akara-bowl,image,2025-09-12T07:00:00Z,2026-09-20T07:00:00Z,neutral_palette,Akara breakfast bowl,false,2800,19,5
pin_recipe_002,brd_recipes_savings,sec_recipe_breakfast,Plantain pancakes savoury,Savoury plantain pancakes.,https://example-food.com/plantain-pancakes,image,2025-09-12T07:00:00Z,2026-09-20T07:00:00Z,neutral_palette,Plantain pancakes savoury,false,2400,17,4
pin_recipe_003,brd_recipes_savings,sec_recipe_dinner,Quick jollof one pot,Quick one-pot jollof recipe.,https://example-food.com/jollof-quick,image,2025-09-12T07:00:00Z,2026-09-20T07:00:00Z,neutral_palette,Quick jollof one pot,false,3300,24,6
pin_recipe_004,brd_recipes_savings,sec_recipe_dinner,Grilled tilapia thirty minutes,Thirty-minute grilled tilapia recipe.,https://example-food.com/tilapia-quick,image,2025-09-12T07:00:00Z,2026-09-20T07:00:00Z,neutral_palette,Grilled tilapia thirty minutes,false,2100,15,3
pin_recipe_005,brd_recipes_savings,sec_recipe_meal_prep,Sunday meal prep one bowl,Sunday meal prep in one bowl.,https://example-food.com/meal-prep-bowl,image,2025-09-12T07:00:00Z,2026-09-20T07:00:00Z,neutral_palette,Sunday meal prep one bowl,false,2600,18,4
pin_recipe_006,brd_recipes_savings,sec_recipe_lunchbox,Kids lunchbox balanced,Balanced kids lunchbox ideas.,https://example-food.com/lunchbox-balanced,image,2025-09-12T07:00:00Z,2026-09-20T07:00:00Z,neutral_palette,Kids lunchbox balanced,false,2900,20,5
pin_book_001,brd_book_nooks,sec_book_verandah,Verandah hammock chair,Hammock chair for the verandah.,https://example-decor.com/hammock-verandah,image,2025-09-12T07:00:00Z,2026-09-20T07:00:00Z,neutral_palette,Verandah hammock chair,false,1900,13,3
pin_book_002,brd_book_nooks,sec_book_family,Family room reading corner,Family room reading corner with floor cushions.,https://example-decor.com/family-corner,image,2025-09-12T07:00:00Z,2026-09-20T07:00:00Z,neutral_palette,Family room reading corner,false,2200,16,4
pin_aso_001,brd_aso_hikes,sec_aso_trails,Trail map Aso main loop,Reference for the main loop.,https://example-outdoor.com/aso-main-loop,image,2025-09-12T07:00:00Z,2026-09-20T07:00:00Z,neutral_palette,Trail map Aso main loop,false,900,6,1
pin_aso_002,brd_aso_hikes,sec_aso_snacks,Trail mix kola nut,Trail mix idea with kola nut.,https://example-outdoor.com/trail-kola,image,2025-09-12T07:00:00Z,2026-09-20T07:00:00Z,neutral_palette,Trail mix kola nut,false,1100,7,1
pin_skin_001,brd_evening_skincare,sec_skin_evening,Five step minimal evening,Five step minimal evening skincare.,https://example-beauty.com/five-step-minimal,image,2025-09-12T07:00:00Z,2026-09-20T07:00:00Z,neutral_palette,Five step minimal evening,false,2100,15,3
pin_skin_002,brd_evening_skincare,sec_skin_products,Vitamin C serum review,Affordable vitamin C serum review.,https://example-beauty.com/vitamin-c,image,2025-09-12T07:00:00Z,2026-09-20T07:00:00Z,neutral_palette,Vitamin C serum review,false,1700,11,2
pin_work_001,brd_workwear_minimal,sec_work_capsule,Capsule wardrobe ten pieces,Ten piece engineering office capsule.,https://example-fashion.com/capsule-ten,image,2025-09-12T07:00:00Z,2026-09-20T07:00:00Z,neutral_palette,Capsule wardrobe ten pieces,false,2400,17,4
pin_work_002,brd_workwear_minimal,sec_work_adire,Adire blazer styling,Adire blazer over neutral palette.,https://example-fashion.com/adire-blazer,image,2025-09-12T07:00:00Z,2026-09-20T07:00:00Z,neutral_palette,Adire blazer styling,false,2900,21,5
pin_bday_001,brd_birthday_kids,sec_birthday_decor,Backyard party setup,Backyard party setup for primary schoolers.,https://example-decor.com/backyard-party,image,2025-09-12T07:00:00Z,2026-09-20T07:00:00Z,neutral_palette,Backyard party setup,false,1800,12,3
pin_bday_002,brd_birthday_kids,sec_birthday_food,Party finger food spread,Finger food spread that travels well.,https://example-food.com/finger-food-party,image,2025-09-12T07:00:00Z,2026-09-20T07:00:00Z,neutral_palette,Party finger food spread,false,1600,10,2
