id,identifier,number,title,description,priority,estimate,stateId,assigneeId,teamId,projectId,cycleId,labelIds,dueDate,sortOrder,branchName,createdAt,updatedAt,startedAt,completedAt,canceledAt
lissue_0102,NRFW-102,102,BBU-7600 cold-start patch unit test coverage,Historical NRFW-102: BBU-7600 cold-start patch unit test coverage.,3,,wfs_in_progress,luser_tachfw1,team_5g,lprj_abu_cbd,cyc_5,"lbl_baseband,lbl_firmware,lbl_test",2026-10-12,102,fix/nrfw-102,2026-08-15T10:00:00Z,2026-09-30T15:00:00Z,2026-08-15T10:00:00Z,,
lissue_0103,NRFW-103,103,EMF measurement methodology section draft,Historical NRFW-103: EMF measurement methodology section draft.,3,,wfs_in_progress,luser_ola,team_5g,lprj_abu_cbd,cyc_5,"lbl_documentation,lbl_customer_abuja",2026-10-12,103,fix/nrfw-103,2026-08-15T10:00:00Z,2026-09-30T15:00:00Z,2026-08-15T10:00:00Z,,
lissue_0104,NRFW-104,104,Firmware version 24.10.2 release notes,Historical NRFW-104: Firmware version 24.10.2 release notes.,3,,wfs_done,luser_tachfw1,team_5g,lprj_abu_cbd,cyc_4,"lbl_firmware,lbl_documentation",2026-09-30,104,fix/nrfw-104,2026-08-15T10:00:00Z,2026-09-30T15:00:00Z,2026-08-15T10:00:00Z,2026-09-30T15:00:00Z,
lissue_0105,NRFW-105,105,Customer portal access for TelcoNG read-only,Historical NRFW-105: Customer portal access for TelcoNG read-only.,4,,wfs_done,luser_ola,team_5g,lprj_abu_cbd,cyc_3,"lbl_documentation,lbl_customer_abuja",2026-09-05,105,fix/nrfw-105,2026-08-15T10:00:00Z,2026-09-30T15:00:00Z,2026-08-15T10:00:00Z,2026-09-30T15:00:00Z,
lissue_0106,NRFW-106,106,BBU-7600 cold-start patch QA test plan,Historical NRFW-106: BBU-7600 cold-start patch QA test plan.,2,,wfs_done,luser_tachfw1,team_5g,lprj_abu_cbd,cyc_4,"lbl_baseband,lbl_firmware,lbl_test",2026-09-26,106,fix/nrfw-106,2026-08-15T10:00:00Z,2026-09-30T15:00:00Z,2026-08-15T10:00:00Z,2026-09-30T15:00:00Z,
lissue_0107,NRFW-107,107,BBU-7600 cold-start patch QA execution,Historical NRFW-107: BBU-7600 cold-start patch QA execution.,2,,wfs_in_qa,luser_tachfw1,team_5g,lprj_abu_cbd,cyc_5,"lbl_baseband,lbl_firmware,lbl_test",2026-10-12,107,fix/nrfw-107,2026-08-15T10:00:00Z,2026-09-30T15:00:00Z,2026-08-15T10:00:00Z,,
lissue_0108,NRFW-108,108,64TR radio antenna calibration analysis paper,Historical NRFW-108: 64TR radio antenna calibration analysis paper.,4,,wfs_in_progress,luser_tachfw2,team_5g,lprj_abu_cbd,cyc_5,"lbl_radio,lbl_calibration,lbl_documentation",2026-10-12,108,fix/nrfw-108,2026-08-15T10:00:00Z,2026-09-30T15:00:00Z,2026-08-15T10:00:00Z,,
lissue_0109,NRFW-109,109,RF feeder cable assembly QA spot check,Historical NRFW-109: RF feeder cable assembly QA spot check.,3,,wfs_done,luser_tachfw2,team_5g,lprj_abu_cbd,cyc_3,"lbl_radio,lbl_test",2026-09-10,109,fix/nrfw-109,2026-08-15T10:00:00Z,2026-09-30T15:00:00Z,2026-08-15T10:00:00Z,2026-09-30T15:00:00Z,
lissue_0110,NRFW-110,110,Backhaul microwave module sequencing fix,Historical NRFW-110: Backhaul microwave module sequencing fix.,4,,wfs_done,luser_tachfw1,team_5g,lprj_abu_cbd,cyc_2,lbl_firmware,2026-08-28,110,fix/nrfw-110,2026-08-15T10:00:00Z,2026-09-30T15:00:00Z,2026-08-15T10:00:00Z,2026-09-30T15:00:00Z,
lissue_0111,NRFW-111,111,Vendor weekly digest tooling for customer pilots,Historical NRFW-111: Vendor weekly digest tooling for customer pilots.,2,,wfs_backlog,luser_ola,team_5g,lprj_abu_cbd,cyc_6,lbl_documentation,2026-10-26,111,fix/nrfw-111,2026-08-15T10:00:00Z,2026-09-30T15:00:00Z,,,
lissue_0112,NRFW-112,112,Acceptance test plan v3 review pass 2,Historical NRFW-112: Acceptance test plan v3 review pass 2.,2,,wfs_done,luser_ola,team_5g,lprj_abu_cbd,cyc_4,"lbl_test,lbl_documentation,lbl_customer_abuja",2026-09-30,112,fix/nrfw-112,2026-08-15T10:00:00Z,2026-09-30T15:00:00Z,2026-08-15T10:00:00Z,2026-09-30T15:00:00Z,
lissue_0113,NRFW-113,113,Firmware 24.10.2 customer-facing changelog,Historical NRFW-113: Firmware 24.10.2 customer-facing changelog.,4,,wfs_done,luser_ola,team_5g,lprj_abu_cbd,cyc_4,"lbl_firmware,lbl_documentation,lbl_customer_abuja",2026-09-30,113,fix/nrfw-113,2026-08-15T10:00:00Z,2026-09-30T15:00:00Z,2026-08-15T10:00:00Z,2026-09-30T15:00:00Z,
lissue_0114,NRFW-114,114,Edge baseband processor BBU-7600 inventory tracking,Historical NRFW-114: Edge baseband processor BBU-7600 inventory tracking.,4,,wfs_in_progress,luser_ola,team_5g,lprj_abu_cbd,cyc_5,"lbl_baseband,lbl_customs,lbl_customer_abuja",2026-10-12,114,fix/nrfw-114,2026-08-15T10:00:00Z,2026-09-30T15:00:00Z,2026-08-15T10:00:00Z,,
lissue_0115,NRFW-115,115,Sector antenna spec error in datasheet,Historical NRFW-115: Sector antenna spec error in datasheet.,3,,wfs_done,luser_tachfw2,team_5g,lprj_abu_cbd,cyc_2,"lbl_radio,lbl_documentation",2026-08-30,115,fix/nrfw-115,2026-08-15T10:00:00Z,2026-09-30T15:00:00Z,2026-08-15T10:00:00Z,2026-09-30T15:00:00Z,
lissue_0116,NRFW-116,116,DC power supply cold-room behavior anomaly,Historical NRFW-116: DC power supply cold-room behavior anomaly.,2,,wfs_done,luser_tachfw1,team_5g,lprj_abu_cbd,cyc_2,"lbl_firmware,lbl_thermal",2026-08-29,116,fix/nrfw-116,2026-08-15T10:00:00Z,2026-09-30T15:00:00Z,2026-08-15T10:00:00Z,2026-09-30T15:00:00Z,
lissue_0117,NRFW-117,117,Customer pilot kickoff retrospective,Historical NRFW-117: Customer pilot kickoff retrospective.,4,,wfs_done,luser_ola,team_5g,lprj_abu_cbd,cyc_1,"lbl_documentation,lbl_customer_abuja",2026-08-16,117,fix/nrfw-117,2026-08-15T10:00:00Z,2026-09-30T15:00:00Z,2026-08-15T10:00:00Z,2026-09-30T15:00:00Z,
