ts,channel_id,user_id,text,thread_ts,reply_count,reactions
1790363262.304394,C005,U009,ok,,0,
1790370117.977055,C002,U008,Community engagement update - 5 objection threads being managed.,,0,
1790379217.447158,C005,U002,noted,,0,
1790391112.605908,C004,U009,EMF compliance methodology section ready for FCBD-101.,,0,
1790391501.436742,C005,U011,lets sync offline,,0,
1790405779.329511,C004,U007,see notion,,0,
1790416867.598870,C003,U005,see jira,,0,
1790429023.671676,C001,U001,Reminder: NCC stakeholder briefing Oct 22.,,0,
1790431229.160822,C003,U006,noted,,0,
1790440286.379990,C003,U006,see notion,,0,
1790446520.452117,C002,U011,PMO digest dropped in #general.,,0,
1790456236.556835,C007,U011,All exhibits packed and ready for Mon.,,0,
1790463037.901863,C005,U009,see jira,,0,
1790471156.991841,C004,U006,noted,,0,
1790473932.483200,C005,U011,see jira,,0,
1790480558.953356,C006,U006,noted,,0,
1790490097.589902,C008,U007,NCC quarterly briefing Oct 22 - mark calendars.,,0,
1790490530.643048,C003,U004,Updating milestone status on monday board to At Risk - rescheduled.,,0,
1790500008.134727,C008,U011,see Confluence,,0,
1790514094.441200,C003,U008,Field coordinator note added to S03 objection letter.,,0,
1790516507.777053,C005,U010,Tachyon position: we can absorb the delay if customs clears by Wed Oct 7.,,0,
1790517279.131034,C004,U007,got it,,0,
1790521978.772274,C001,U007,see jira,,0,
1790522468.276135,C004,U010,circling back,,0,
1790525889.020078,C004,U007,noted,,0,
1790531825.187304,C002,U003,+1,,0,
1790541153.805857,C001,U001,ok,,0,
1790542237.331574,C003,U011,👍,,0,
1790546440.206599,C002,U003,agreed,,0,
1790548934.437590,C003,U001,more later,,0,
1790556118.887543,C001,U002,"Team, please review the Q4 OKR draft in Confluence by Wed.",,0,
1790563250.708159,C004,U006,Capacity plan for CBD pilot 12-month projection in Notion.,,0,
1790566630.356540,C002,U002,see notion,,0,
1790575942.941127,C007,U001,+1,,0,
1790578745.569730,C002,U006,circling back,,0,
1790579034.390353,C008,U001,agreed,,0,
1790579361.613230,C001,U010,see jira,,0,
1790606690.186121,C009,U002,circling back,,0,
1790614459.366966,C003,U004,PHASE1-S07 acquisition paperwork closed overnight. Will reflect in airtable.,,0,
1790622734.061476,C005,U011,👍,,0,
1790638672.094941,C009,U011,see jira,,0,
1790646108.270005,C008,U011,see jira,,0,
1790657067.602890,C005,U010,Weekly digest item: 80-line manifest reconciliation.,,0,
1790663654.075429,C002,U004,👍,,0,
1790674677.174102,C006,U006,Quarterly review with Olatunji scheduled mid-Nov.,,0,
1790688009.001338,C003,U006,noted,,0,
1790699408.467165,C002,U004,noted,,0,
1790708760.929426,C004,U011,Filing plan v3 vs v4 version history check pending.,,0,
1790727049.468798,C004,U011,more later,,0,
1790737688.061440,C005,U001,Filing position must align with the v3 technical review on the engineering wiki.,,0,
1790748383.677842,C002,U001,see Confluence,,0,
1790750814.643897,C005,U010,see jira,,0,
1790773017.898180,C007,U007,ok,,0,
1790774162.656101,C003,U004,circling back,,0,
1790813684.879274,C007,U001,Dry run dialogue rehearsed.,,0,
1790822148.946816,C001,U011,All-hands meeting Oct 15 - calendar invite incoming.,,0,
1790845324.444233,C005,U011,lets sync offline,,0,
1790858008.538063,C008,U002,noted,,0,
1790858024.471238,C002,U001,see notion,,0,
1790858924.150157,C005,U002,lets sync offline,,0,
1790865208.496694,C005,U010,ack,,0,
1790866571.999536,C007,U002,Ready for Mon 10 AM.,,0,
1790876312.701913,C009,U002,Hiring committee Friday.,,0,
1790878508.107001,C002,U003,see Confluence,,0,
1790883881.636337,C006,U005,agreed,,0,
1790895338.091915,C002,U001,Confluence: please review the 5G technical position v3 before the hearing.,,0,
1790895658.204025,C007,U007,Technical position v3 cross-check - filing position must match.,,0,
1790910280.114287,C006,U005,Hotspot #4 (Minna market) showing 30% drop in evening peak performance.,,0,
1790917854.656563,C004,U010,ok,,0,
1790930786.749282,C003,U004,👍,,0,
1790944110.648495,C006,U001,ack,,0,
1790946096.374163,C004,U006,see Confluence,,0,
1790960914.486851,C003,U011,more later,,0,
1790962139.373234,C003,U008,see Confluence,,0,
1790988910.168722,C003,U006,Capacity projection for Phase 1 - 78% load utilization at year-end.,,0,
1790991496.596324,C005,U001,Need cost analysis of expedite vs delivery slippage - PMO please.,,0,
1790992302.673612,C004,U002,Filing position - reviewing the wiki Filing Plan v3 ahead of Mon.,,0,
1790992863.620174,C007,U002,Filing plan v3 is in the wiki. Will re-read ahead of dry run.,,0,
1790993153.618059,C003,U004,"Phase 1 site status: 32 acquired, 8 in negotiation, 5 objection.",,0,
1791001250.877319,C009,U011,Open req: capacity planner (mid). Posted on Greenhouse.,,0,
1791007216.875288,C007,U001,NCC pre-hearing brief - 5 agenda items in confluence.,,0,
1791007785.540067,C003,U008,PHASE1-S03 community lead meeting confirmed - Chief Musa Adamu.,,0,
1791010473.318551,C007,U007,Spectrum analysis exhibits ready for Form 7B.,,0,
1791012528.934862,C003,U004,Vendor permitting delay in Lafia - 3 sites need extended community consultation.,,0,
1791031148.295821,C008,U007,ITU-R 3.5 GHz note published. Reading material for next standards review.,,0,
1791034045.901003,C002,U002,NCC hearing prep - dry run Thursday 4 PM.,,0,
1791048290.151828,C005,U010,DHL-NG-4421-8829 and 8901 currently mid-leg with the broker; final disposition will land in tomorrow's vendor digest.,,0,
1791062644.854704,C004,U001,Hearing prep Q&A - 5 agenda items per agenda.,,0,
1791065908.037128,C004,U010,Tachyon: BBU-7600 firmware patch ETA Oct 16 GA. Tracking NRFW-118.,,0,
1791066376.298183,C006,U006,October Niger QoS dashboard refreshed.,,0,
1791068525.051811,C004,U007,NCC Form 7B - technical exhibits FCBD-124 - need final coverage maps.,,0,
1791069196.667413,C003,U004,Will share an updated milestone view after Mon standup.,,0,
1791079625.416582,C002,U007,ITU-R working party 5D note on 3.5 GHz harmonization - reading later.,,0,
1791081580.985676,C004,U009,Acceptance test plan v3 reflects feedback. Sheila review pending.,,0,
1791081811.414011,C002,U004,Nasarawa site survey reports for Phase 1 batch 3 uploaded.,,0,
1791084621.608916,C003,U008,PHASE1-S07 traditional leader engagement - Wed Oct 7.,,0,
1791091904.504412,C002,U006,Capacity model refresh North-Central Q4 in Confluence. Comments please.,,0,
1791094728.784191,C002,U005,BBU-7600 cold-start crash reproduced in lab - filing FCBD-118.,,0,
1791099462.433889,C004,U010,Customer-side coordination thread is open with our logistics partner; will share full status pre-standup.,,0,
1791102677.537902,C005,U002,Olatunji: lets hold the expedite decision pending Sheila review.,,0,
1791104843.654986,C002,U001,Team standup Mon 9 AM as usual.,,0,
1791114659.251562,C005,U011,Cost analysis: NGN 75K expedite vs 2-3 day Oct 19 slip - calculating impact.,,0,
1791115538.945172,C003,U005,RF survey on PHASE1-S08 complete - viable site if community signs off.,,0,
1791119600.426127,C001,U011,Reminder - office closed Oct 1 for Independence Day.,,0,
1791119952.005996,C005,U010,Helmer Logistics opened a couple of customs queries on our side. Will package the diffs in tomorrow morning's digest.,,0,
