id,type,status,title,space_key,parent_id,version,body,created_by,created_at
pg_3gpp_release_18,page,current,3GPP Release 18 Features - Implementation Notes,REG,,2,3GPP Release 18 features with capacity planning implications.,f.musa@telecorpng.com,2026-07-22T13:00:00+01:00
pg_itu_3_5ghz_note,page,current,ITU-R Working Party 5D Note on 3.5 GHz Harmonization,REG,,1,Reading notes on ITU-R working party 5D note on 3.5 GHz band harmonization.,f.musa@telecorpng.com,2026-09-10T11:00:00+01:00
pg_vendor_acceptance_test,page,current,Vendor Acceptance Test Plan v3,FCBD,,3,5G NR Massive MIMO radio acceptance test plan. Vendor: Tachyon Networks. Linked jira FCBD-101.,t.bello@telecorpng.com,2026-09-28T10:00:00+01:00
pg_emf_compliance_methodology,page,current,EMF Compliance Methodology,FCBD,,2,EMF measurement methodology for the 5G CBD pilot. Required for FCBD-101 acceptance.,sheila.stokes@Finthesiss.ai,2026-08-25T15:00:00+01:00
pg_capacity_model_nc_q4,page,current,Capacity Model Refresh - North-Central Q4 2026,ENG,,1,Q4 capacity model refresh for the North-Central region.,e.adeniyi@telecorpng.com,2026-09-30T16:00:00+01:00
pg_niger_qos_oct,page,current,Niger State QoS Dashboard - October 2026,ENG,,1,October Niger State QoS dashboard. 12 congestion hotspots tracked.,e.adeniyi@telecorpng.com,2026-10-01T09:00:00+01:00
pg_filing_position_consistency_check,page,current,Filing Position vs Technical Review v3 - Consistency Check,FCBD,,1,Cross-check ensuring the filing position aligns with the Technical Justification v3 page.,b.olatunji@telecorpng.com,2026-09-30T17:00:00+01:00
pg_mentorship_canon,page,current,Mentorship Cadence Canon,ENG,,2,Mentorship cadence canon for the team's informal women-in-telecom network.,sheila.stokes@Finthesiss.ai,2026-07-08T14:00:00+01:00
pg_dry_run_dialogue,page,current,NCC Hearing - Dry Run Dialogue Script,FCBD,,1,Dry run dialogue script for the NCC spectrum hearing. Q&A coverage for all 5 agenda items.,f.musa@telecorpng.com,2026-10-01T16:00:00+01:00
pg_spectrum_analysis_exhibits,page,current,Spectrum Analysis Exhibits for Form 7B,FCBD,,2,Spectrum analysis exhibits for NCC Form 7B technical submission.,f.musa@telecorpng.com,2026-09-28T11:00:00+01:00
pg_objection_letter_template,page,current,Community Objection Response Template,ENG,,3,Template for community objection response correspondence. Used for the 5 active Phase 1 objection threads.,c.ndukwe@telecorpng.com,2026-09-15T10:00:00+01:00
pg_lagos_trip_planning,page,current,Lagos Family Visit Planning - Q4 2026,ENG,,1,Personal scratch page - Lagos family visit Oct 24-28 planning.,sheila.stokes@Finthesiss.ai,2026-09-25T20:00:00+01:00
pg_executive_program_research,page,current,Lagos Executive Program in Tech Management - 2027 Application,ENG,,2,Research notes on the Lagos Metropolitan Tech Management executive program for 2027.,sheila.stokes@Finthesiss.ai,2026-08-12T19:00:00+01:00
pg_comtech_summit_brief,page,current,Nigeria ComTech Summit 2026 - Speaker Brief,ENG,,1,Speaker brief for the Nigeria ComTech Summit Dec 1 2026.,sheila.stokes@Finthesiss.ai,2026-09-05T11:00:00+01:00
pg_general_weekly_status,page,current,Network Planning - Weekly Status (Wk 40),ENG,,1,Weekly status summary week 40 of 2026.,a.obi@telecorpng.com,2026-10-02T17:00:00+01:00
pg_5g_filing_plan_v3_exhibits_addendum,page,current,5G CBD Pilot - NCC Filing Plan v3 - Exhibits Addendum,FCBD,pg_5g_filing_plan_v3,1,"Exhibits addendum to filing plan v3. Reflects exhibits ITU-R Working Party 5D approved on Sept 28. Awaiting director sign-off before posting to main filing plan page. Required exhibits: E1 RF measurement report 3500-3600 MHz, E2 interference analysis vs incumbent users, E3 coordination analysis with satellite earth stations, E4 propagation model verification, E5 test transmission log. Editor note: pending update for any additional bands the hearing brief may extend into.",f.musa@telecorpng.com,2026-09-30T16:00:00+01:00
