id,key,project_key,issue_type,summary,description,status,priority,assignee,reporter,sprint_id,story_points,created,updated
jissue_0015,NSW-243,NSW,Task,PHASE1-S05 acquisition closure,Auto-context: PHASE1-S05 acquisition closure.,Done,Medium,i.okeke@telecorpng.com,sheila.stokes@Finthesiss.ai,30003,2,2026-09-25T10:00:00+01:00,2026-10-02T17:00:00+01:00
jissue_0016,NSW-244,NSW,Task,PHASE1-S06 acquisition negotiation,Auto-context: PHASE1-S06 acquisition negotiation.,In Progress,Medium,i.okeke@telecorpng.com,sheila.stokes@Finthesiss.ai,30003,5,2026-09-25T10:00:00+01:00,2026-10-02T17:00:00+01:00
jissue_0017,NSW-245,NSW,Task,PHASE1-S09 acquisition closure,Auto-context: PHASE1-S09 acquisition closure.,Done,Medium,i.okeke@telecorpng.com,sheila.stokes@Finthesiss.ai,30003,2,2026-09-25T10:00:00+01:00,2026-10-02T17:00:00+01:00
jissue_0018,NSW-246,NSW,Task,PHASE1-S10 acquisition negotiation,Auto-context: PHASE1-S10 acquisition negotiation.,In Progress,Medium,i.okeke@telecorpng.com,sheila.stokes@Finthesiss.ai,30003,5,2026-09-25T10:00:00+01:00,2026-10-02T17:00:00+01:00
jissue_0019,NSW-248,NSW,Task,PHASE1-S12 acquisition closure,Auto-context: PHASE1-S12 acquisition closure.,Done,Medium,i.okeke@telecorpng.com,sheila.stokes@Finthesiss.ai,30003,2,2026-09-25T10:00:00+01:00,2026-10-02T17:00:00+01:00
jissue_0020,NSW-249,NSW,Task,PHASE1-S13 acquisition closure,Auto-context: PHASE1-S13 acquisition closure.,Done,Medium,i.okeke@telecorpng.com,sheila.stokes@Finthesiss.ai,30003,2,2026-09-25T10:00:00+01:00,2026-10-02T17:00:00+01:00
jissue_0021,NSW-252,NSW,Task,PHASE1-S08 community objection,Auto-context: PHASE1-S08 community objection.,In Progress,High,c.ndukwe@telecorpng.com,sheila.stokes@Finthesiss.ai,30003,3,2026-09-25T10:00:00+01:00,2026-10-02T17:00:00+01:00
jissue_0022,NSW-253,NSW,Task,PHASE1-S11 community objection,Auto-context: PHASE1-S11 community objection.,In Progress,High,c.ndukwe@telecorpng.com,sheila.stokes@Finthesiss.ai,30003,3,2026-09-25T10:00:00+01:00,2026-10-02T17:00:00+01:00
jissue_0023,NSW-254,NSW,Task,PHASE1-S14 community objection,Auto-context: PHASE1-S14 community objection.,In Progress,High,c.ndukwe@telecorpng.com,sheila.stokes@Finthesiss.ai,30003,3,2026-09-25T10:00:00+01:00,2026-10-02T17:00:00+01:00
jissue_0024,NSW-255,NSW,Task,PHASE1-S15 community objection,Auto-context: PHASE1-S15 community objection.,In Progress,High,c.ndukwe@telecorpng.com,sheila.stokes@Finthesiss.ai,30003,3,2026-09-25T10:00:00+01:00,2026-10-02T17:00:00+01:00
jissue_0025,NSW-260,NSW,Task,Phase 2 site survey wave 1,Auto-context: Phase 2 site survey wave 1.,In Progress,Medium,i.okeke@telecorpng.com,sheila.stokes@Finthesiss.ai,30004,3,2026-09-25T10:00:00+01:00,2026-10-02T17:00:00+01:00
jissue_0026,NSW-261,NSW,Task,Phase 2 site survey wave 2,Auto-context: Phase 2 site survey wave 2.,To Do,Medium,i.okeke@telecorpng.com,sheila.stokes@Finthesiss.ai,30004,3,2026-09-25T10:00:00+01:00,2026-10-02T17:00:00+01:00
jissue_0027,NQS-44,NQS,Task,Hotspot Minna Market - capacity uplift,Niger QoS Q4: Hotspot Minna Market - capacity uplift.,In Progress,Medium,e.adeniyi@telecorpng.com,sheila.stokes@Finthesiss.ai,30008,3,2026-09-29T11:00:00+01:00,2026-10-02T15:00:00+01:00
jissue_0028,NQS-45,NQS,Task,Hotspot Suleja Market - capacity uplift,Niger QoS Q4: Hotspot Suleja Market - capacity uplift.,In Progress,Medium,e.adeniyi@telecorpng.com,sheila.stokes@Finthesiss.ai,30008,3,2026-09-29T11:00:00+01:00,2026-10-02T15:00:00+01:00
jissue_0029,NQS-46,NQS,Task,Hotspot Minna Airport - retune,Niger QoS Q4: Hotspot Minna Airport - retune.,In Progress,Medium,e.adeniyi@telecorpng.com,sheila.stokes@Finthesiss.ai,30008,3,2026-09-29T11:00:00+01:00,2026-10-02T15:00:00+01:00
jissue_0030,NQS-47,NQS,Task,Hotspot Bida - retune,Niger QoS Q4: Hotspot Bida - retune.,To Do,Medium,e.adeniyi@telecorpng.com,sheila.stokes@Finthesiss.ai,30008,3,2026-09-29T11:00:00+01:00,2026-10-02T15:00:00+01:00
jissue_0031,NQS-48,NQS,Task,Q4 dashboard refresh,Niger QoS Q4: Q4 dashboard refresh.,Done,Medium,e.adeniyi@telecorpng.com,sheila.stokes@Finthesiss.ai,30008,3,2026-09-29T11:00:00+01:00,2026-10-02T15:00:00+01:00
jissue_0032,NQS-49,NQS,Task,Quarterly review prep - Olatunji,Niger QoS Q4: Quarterly review prep - Olatunji.,To Do,Medium,e.adeniyi@telecorpng.com,sheila.stokes@Finthesiss.ai,30008,3,2026-09-29T11:00:00+01:00,2026-10-02T15:00:00+01:00
jissue_0033,NQS-50,NQS,Task,Hotspot Tegina - retune,Niger QoS Q4: Hotspot Tegina - retune.,To Do,Medium,e.adeniyi@telecorpng.com,sheila.stokes@Finthesiss.ai,30008,3,2026-09-29T11:00:00+01:00,2026-10-02T15:00:00+01:00
jissue_0034,NQS-51,NQS,Task,Hotspot Mokwa - capacity uplift,Niger QoS Q4: Hotspot Mokwa - capacity uplift.,To Do,Medium,e.adeniyi@telecorpng.com,sheila.stokes@Finthesiss.ai,30008,3,2026-09-29T11:00:00+01:00,2026-10-02T15:00:00+01:00
jissue_0035,NQS-52,NQS,Task,Hotspot Lapai - capacity uplift,Niger QoS Q4: Hotspot Lapai - capacity uplift.,In Progress,Medium,e.adeniyi@telecorpng.com,sheila.stokes@Finthesiss.ai,30008,3,2026-09-29T11:00:00+01:00,2026-10-02T15:00:00+01:00
jissue_0036,NQS-53,NQS,Task,Hotspot Kontagora - retune,Niger QoS Q4: Hotspot Kontagora - retune.,To Do,Medium,e.adeniyi@telecorpng.com,sheila.stokes@Finthesiss.ai,30008,3,2026-09-29T11:00:00+01:00,2026-10-02T15:00:00+01:00
jissue_0037,NQS-54,NQS,Task,Hotspot Agaie - retune,Niger QoS Q4: Hotspot Agaie - retune.,In Progress,Medium,e.adeniyi@telecorpng.com,sheila.stokes@Finthesiss.ai,30008,3,2026-09-29T11:00:00+01:00,2026-10-02T15:00:00+01:00
jissue_0038,NQS-55,NQS,Task,Hotspot Wushishi - retune,Niger QoS Q4: Hotspot Wushishi - retune.,To Do,Medium,e.adeniyi@telecorpng.com,sheila.stokes@Finthesiss.ai,30008,3,2026-09-29T11:00:00+01:00,2026-10-02T15:00:00+01:00
jissue_0039,FCBD-090,FCBD,Task,Spectrum analysis exhibit refresh,Historical filler: Spectrum analysis exhibit refresh.,Done,Medium,jacc_001,sheila.stokes@Finthesiss.ai,30005,1,2026-08-20T10:00:00+01:00,2026-09-30T17:00:00+01:00
jissue_0040,FCBD-091,FCBD,Task,RF coverage baseline for CBD blocks A-D,Historical filler: RF coverage baseline for CBD blocks A-D.,Done,Medium,jacc_009,sheila.stokes@Finthesiss.ai,30005,3,2026-08-20T10:00:00+01:00,2026-09-30T17:00:00+01:00
jissue_0041,FCBD-092,FCBD,Task,Vendor onboarding - Tachyon,Historical filler: Vendor onboarding - Tachyon.,Done,Medium,sheila.stokes@Finthesiss.ai,sheila.stokes@Finthesiss.ai,30005,3,2026-08-20T10:00:00+01:00,2026-09-30T17:00:00+01:00
jissue_0042,FCBD-093,FCBD,Task,Project charter draft,Historical filler: Project charter draft.,Done,Medium,sheila.stokes@Finthesiss.ai,sheila.stokes@Finthesiss.ai,30005,5,2026-08-20T10:00:00+01:00,2026-09-30T17:00:00+01:00
jissue_0043,FCBD-094,FCBD,Task,PO TCH-PO-2026-019 line review pass,Historical filler: PO TCH-PO-2026-019 line review pass.,Done,Medium,sheila.stokes@Finthesiss.ai,sheila.stokes@Finthesiss.ai,30005,3,2026-08-20T10:00:00+01:00,2026-09-30T17:00:00+01:00
jissue_0044,FCBD-095,FCBD,Task,Manifest verification batch 1,Historical filler: Manifest verification batch 1.,Done,Medium,sheila.stokes@Finthesiss.ai,sheila.stokes@Finthesiss.ai,30005,2,2026-08-20T10:00:00+01:00,2026-09-30T17:00:00+01:00
jissue_0045,FCBD-096,FCBD,Task,Manifest verification batch 2,Historical filler: Manifest verification batch 2.,Done,Medium,jacc_008,sheila.stokes@Finthesiss.ai,30005,5,2026-08-20T10:00:00+01:00,2026-09-30T17:00:00+01:00
jissue_0046,FCBD-097,FCBD,Task,Manifest verification batch 3,Historical filler: Manifest verification batch 3.,Done,Medium,sheila.stokes@Finthesiss.ai,sheila.stokes@Finthesiss.ai,30005,1,2026-08-20T10:00:00+01:00,2026-09-30T17:00:00+01:00
jissue_0047,FCBD-098,FCBD,Task,Manifest verification batch 4,Historical filler: Manifest verification batch 4.,Done,Medium,jacc_004,sheila.stokes@Finthesiss.ai,30005,5,2026-08-20T10:00:00+01:00,2026-09-30T17:00:00+01:00
jissue_0048,FCBD-099,FCBD,Task,EMF baseline measurements - CBD blocks A-D,Historical filler: EMF baseline measurements - CBD blocks A-D.,Done,Medium,jacc_007,sheila.stokes@Finthesiss.ai,30005,5,2026-08-20T10:00:00+01:00,2026-09-30T17:00:00+01:00
jissue_0049,FCBD-100,FCBD,Task,Technical Position v3 draft,Historical filler: Technical Position v3 draft.,Done,Medium,jacc_010,sheila.stokes@Finthesiss.ai,30005,1,2026-08-20T10:00:00+01:00,2026-09-30T17:00:00+01:00
jissue_0050,FCBD-102,FCBD,Task,Technical Position v3 review pass 1,Historical filler: Technical Position v3 review pass 1.,Done,Medium,jacc_010,sheila.stokes@Finthesiss.ai,30005,3,2026-08-20T10:00:00+01:00,2026-09-30T17:00:00+01:00
jissue_0051,FCBD-103,FCBD,Task,Technical Position v3 review pass 2,Historical filler: Technical Position v3 review pass 2.,Done,Medium,jacc_007,sheila.stokes@Finthesiss.ai,30005,2,2026-08-20T10:00:00+01:00,2026-09-30T17:00:00+01:00
jissue_0052,FCBD-104,FCBD,Task,FCBD weekly digest week 38,Historical filler: FCBD weekly digest week 38.,Done,Medium,jacc_005,sheila.stokes@Finthesiss.ai,30005,3,2026-08-20T10:00:00+01:00,2026-09-30T17:00:00+01:00
jissue_0053,FCBD-105,FCBD,Task,FCBD weekly digest week 39,Historical filler: FCBD weekly digest week 39.,Done,Medium,sheila.stokes@Finthesiss.ai,sheila.stokes@Finthesiss.ai,30005,1,2026-08-20T10:00:00+01:00,2026-09-30T17:00:00+01:00
jissue_0054,FCBD-106,FCBD,Task,FCBD weekly digest week 40,Historical filler: FCBD weekly digest week 40.,Done,Medium,sheila.stokes@Finthesiss.ai,sheila.stokes@Finthesiss.ai,30005,2,2026-08-20T10:00:00+01:00,2026-09-30T17:00:00+01:00
jissue_0055,FCBD-107,FCBD,Task,Form 7B template refresh,Historical filler: Form 7B template refresh.,Done,Medium,sheila.stokes@Finthesiss.ai,sheila.stokes@Finthesiss.ai,30005,3,2026-08-20T10:00:00+01:00,2026-09-30T17:00:00+01:00
jissue_0056,FCBD-108,FCBD,Task,Prior hearing transcript ingestion,Historical filler: Prior hearing transcript ingestion.,Done,Medium,jacc_002,sheila.stokes@Finthesiss.ai,30005,1,2026-08-20T10:00:00+01:00,2026-09-30T17:00:00+01:00
jissue_0057,FCBD-109,FCBD,Task,ITU-R working party 5D note ingestion,Historical filler: ITU-R working party 5D note ingestion.,Done,Medium,jacc_005,sheila.stokes@Finthesiss.ai,30005,3,2026-08-20T10:00:00+01:00,2026-09-30T17:00:00+01:00
jissue_0058,FCBD-114,FCBD,Task,Acceptance test plan v3 draft,Historical filler: Acceptance test plan v3 draft.,Done,Medium,sheila.stokes@Finthesiss.ai,sheila.stokes@Finthesiss.ai,30005,1,2026-08-20T10:00:00+01:00,2026-09-30T17:00:00+01:00
jissue_0059,FCBD-115,FCBD,Task,Acceptance test plan v3 review pass 1,Historical filler: Acceptance test plan v3 review pass 1.,Done,Medium,sheila.stokes@Finthesiss.ai,sheila.stokes@Finthesiss.ai,30005,2,2026-08-20T10:00:00+01:00,2026-09-30T17:00:00+01:00
jissue_0060,FCBD-116,FCBD,Task,Acceptance test plan v3 review pass 2,Historical filler: Acceptance test plan v3 review pass 2.,Done,Medium,jacc_011,sheila.stokes@Finthesiss.ai,30005,1,2026-08-20T10:00:00+01:00,2026-09-30T17:00:00+01:00
jissue_0061,FCBD-117,FCBD,Task,Vendor ticket linkage NRFW-118,Historical filler: Vendor ticket linkage NRFW-118.,Done,Medium,jacc_002,sheila.stokes@Finthesiss.ai,30005,3,2026-08-20T10:00:00+01:00,2026-09-30T17:00:00+01:00
jissue_0062,FCBD-119,FCBD,Task,BBU-7600 firmware reproduction case,Historical filler: BBU-7600 firmware reproduction case.,Done,Medium,sheila.stokes@Finthesiss.ai,sheila.stokes@Finthesiss.ai,30005,3,2026-08-20T10:00:00+01:00,2026-09-30T17:00:00+01:00
jissue_0063,FCBD-120,FCBD,Task,BBU-7600 firmware patch QA tracking,Historical filler: BBU-7600 firmware patch QA tracking.,In Progress,Medium,sheila.stokes@Finthesiss.ai,sheila.stokes@Finthesiss.ai,30005,5,2026-08-20T10:00:00+01:00,2026-09-30T17:00:00+01:00
jissue_0064,FCBD-121,FCBD,Task,Antenna mounting bracket inventory check,Historical filler: Antenna mounting bracket inventory check.,Done,Medium,jacc_007,sheila.stokes@Finthesiss.ai,30005,3,2026-08-20T10:00:00+01:00,2026-09-30T17:00:00+01:00
jissue_0065,FCBD-122,FCBD,Task,RF feeder cable inventory check,Historical filler: RF feeder cable inventory check.,Done,Medium,sheila.stokes@Finthesiss.ai,sheila.stokes@Finthesiss.ai,30005,2,2026-08-20T10:00:00+01:00,2026-09-30T17:00:00+01:00
jissue_0066,FCBD-123,FCBD,Task,Fronthaul optical transceiver inventory check,Historical filler: Fronthaul optical transceiver inventory check.,Done,Medium,jacc_010,sheila.stokes@Finthesiss.ai,30005,1,2026-08-20T10:00:00+01:00,2026-09-30T17:00:00+01:00
jissue_0067,FCBD-125,FCBD,Task,Vendor weekly status processing,Historical filler: Vendor weekly status processing.,Done,Medium,jacc_002,sheila.stokes@Finthesiss.ai,30005,2,2026-08-20T10:00:00+01:00,2026-09-30T17:00:00+01:00
jissue_0068,FCBD-126,FCBD,Task,DHL customs notification triage,Historical filler: DHL customs notification triage.,In Progress,Medium,jacc_009,sheila.stokes@Finthesiss.ai,30005,5,2026-08-20T10:00:00+01:00,2026-09-30T17:00:00+01:00
jissue_0069,NSW-220,NSW,Task,Phase 1 site identification - LGA mapping,Historical filler: Phase 1 site identification - LGA mapping.,Done,Medium,sheila.stokes@Finthesiss.ai,sheila.stokes@Finthesiss.ai,30002,5,2026-08-20T10:00:00+01:00,2026-09-30T17:00:00+01:00
jissue_0070,NSW-221,NSW,Task,Phase 1 community engagement playbook adoption,Historical filler: Phase 1 community engagement playbook adoption.,Done,Medium,jacc_011,sheila.stokes@Finthesiss.ai,30002,5,2026-08-20T10:00:00+01:00,2026-09-30T17:00:00+01:00
jissue_0071,NSW-222,NSW,Task,Phase 1 environmental approval batch 1,Historical filler: Phase 1 environmental approval batch 1.,Done,Medium,jacc_009,sheila.stokes@Finthesiss.ai,30002,5,2026-08-20T10:00:00+01:00,2026-09-30T17:00:00+01:00
jissue_0072,NSW-223,NSW,Task,Phase 1 environmental approval batch 2,Historical filler: Phase 1 environmental approval batch 2.,Done,Medium,jacc_002,sheila.stokes@Finthesiss.ai,30002,5,2026-08-20T10:00:00+01:00,2026-09-30T17:00:00+01:00
jissue_0073,NSW-224,NSW,Task,Phase 1 environmental approval batch 3,Historical filler: Phase 1 environmental approval batch 3.,Done,Medium,jacc_008,sheila.stokes@Finthesiss.ai,30002,2,2026-08-20T10:00:00+01:00,2026-09-30T17:00:00+01:00
jissue_0074,NSW-225,NSW,Task,Vendor permitting kickoff Lafia LGA,Historical filler: Vendor permitting kickoff Lafia LGA.,Done,Medium,jacc_007,sheila.stokes@Finthesiss.ai,30002,5,2026-08-20T10:00:00+01:00,2026-09-30T17:00:00+01:00
jissue_0075,NSW-226,NSW,Task,Vendor permitting kickoff Akwanga LGA,Historical filler: Vendor permitting kickoff Akwanga LGA.,Done,Medium,sheila.stokes@Finthesiss.ai,sheila.stokes@Finthesiss.ai,30002,5,2026-08-20T10:00:00+01:00,2026-09-30T17:00:00+01:00
jissue_0076,NSW-227,NSW,Task,Vendor permitting kickoff Karu LGA,Historical filler: Vendor permitting kickoff Karu LGA.,Done,Medium,jacc_006,sheila.stokes@Finthesiss.ai,30002,2,2026-08-20T10:00:00+01:00,2026-09-30T17:00:00+01:00
jissue_0077,NSW-228,NSW,Task,Vendor permitting kickoff Keffi LGA,Historical filler: Vendor permitting kickoff Keffi LGA.,Done,Medium,sheila.stokes@Finthesiss.ai,sheila.stokes@Finthesiss.ai,30002,2,2026-08-20T10:00:00+01:00,2026-09-30T17:00:00+01:00
jissue_0078,NSW-229,NSW,Task,Vendor permitting kickoff Nasarawa LGA,Historical filler: Vendor permitting kickoff Nasarawa LGA.,Done,Medium,sheila.stokes@Finthesiss.ai,sheila.stokes@Finthesiss.ai,30002,5,2026-08-20T10:00:00+01:00,2026-09-30T17:00:00+01:00
jissue_0079,NSW-230,NSW,Task,Capacity model refresh - Nasarawa Phase 1,Historical filler: Capacity model refresh - Nasarawa Phase 1.,Done,Medium,sheila.stokes@Finthesiss.ai,sheila.stokes@Finthesiss.ai,30002,2,2026-08-20T10:00:00+01:00,2026-09-30T17:00:00+01:00
jissue_0080,NSW-231,NSW,Task,Capacity model refresh - Nasarawa Phase 2,Historical filler: Capacity model refresh - Nasarawa Phase 2.,In Progress,Medium,sheila.stokes@Finthesiss.ai,sheila.stokes@Finthesiss.ai,30002,1,2026-08-20T10:00:00+01:00,2026-09-30T17:00:00+01:00
jissue_0081,NSW-232,NSW,Task,Phase 1 runbook adoption,Historical filler: Phase 1 runbook adoption.,Done,Medium,jacc_007,sheila.stokes@Finthesiss.ai,30002,5,2026-08-20T10:00:00+01:00,2026-09-30T17:00:00+01:00
jissue_0082,NSW-233,NSW,Task,Phase 1 deployment standards refresh,Historical filler: Phase 1 deployment standards refresh.,Done,Medium,jacc_010,sheila.stokes@Finthesiss.ai,30002,1,2026-08-20T10:00:00+01:00,2026-09-30T17:00:00+01:00
jissue_0083,NSW-234,NSW,Task,Community objection response template adoption,Historical filler: Community objection response template adoption.,Done,Medium,jacc_003,sheila.stokes@Finthesiss.ai,30002,5,2026-08-20T10:00:00+01:00,2026-09-30T17:00:00+01:00
jissue_0084,NSW-235,NSW,Task,Traditional leader engagement playbook,Historical filler: Traditional leader engagement playbook.,Done,Medium,jacc_010,sheila.stokes@Finthesiss.ai,30002,5,2026-08-20T10:00:00+01:00,2026-09-30T17:00:00+01:00
